tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0052483,tvSeries,Law of the Plainsman,Law of the Plainsman,0,1959,1960,30,Western
tt0052484,tvSeries,The Lawless Years,The Lawless Years,0,1959,1961,30,"Crime,Drama"
tt0052485,tvSeries,Lock Up,Lock Up,0,1959,1961,30,"Crime,Drama"
tt0052486,tvSeries,Love and Marriage,Love and Marriage,0,1959,1960,30,Comedy
tt0052487,tvSeries,The Man from Blackhawk,The Man from Blackhawk,0,1959,1960,30,Western
tt0052488,tvSeries,Manhunt,Manhunt,0,1959,1961,30,"Crime,Drama"
tt0052489,tvSeries,Mantovani,Mantovani,0,1958,\N,30,Music
tt0052490,tvSeries,The Many Loves of Dobie Gillis,The Many Loves of Dobie Gillis,0,1959,1963,30,"Comedy,Family"
tt0052491,tvSeries,Markham,Markham,0,1959,1960,30,"Crime,Drama"
tt0052492,tvSeries,Matty's Funnies with Beany and Cecil,Matty's Funday Funnies,0,1959,1962,30,"Animation,Comedy,Family"
tt0052493,tvSeries,Men Into Space,Men Into Space,0,1959,1960,30,Sci-Fi
tt0052494,tvSeries,Mr. Lucky,Mr. Lucky,0,1959,1960,30,"Comedy,Thriller"
tt0052496,tvSeries,New York Confidential,New York Confidential,0,1959,\N,30,"Crime,Drama"
tt0052497,tvSeries,Not for Hire,Not for Hire,0,1959,\N,30,Drama
tt0052498,tvSeries,Oh Boy!,Oh Boy!,0,1958,1959,25,"Family,Music"
tt0052500,tvSeries,Peck's Bad Girl,Peck's Bad Girl,0,1959,\N,30,Comedy
tt0052501,tvSeries,Philip Marlowe,Philip Marlowe,0,1959,1960,30,"Crime,Drama,Mystery"
tt0052503,tvSeries,Playboy's Penthouse,Playboy's Penthouse,0,1959,1961,60,Music
tt0052504,tvSeries,Rawhide,Rawhide,0,1959,1965,50,Western
tt0052505,tvSeries,The Rebel,The Rebel,0,1959,1961,30,Western
tt0052506,tvSeries,Riverboat,Riverboat,0,1959,1961,60,"Adventure,Western"
tt0052507,tvSeries,The Bullwinkle Show,Rocky and His Friends,0,1959,1963,30,"Animation,Comedy,Family"
tt0052508,tvSeries,Shotgun Slade,Shotgun Slade,0,1959,1961,30,Western
tt0052509,tvMiniSeries,As Far as My Feet Will Carry Me,So weit die Füße tragen,0,1959,1959,400,"Drama,War"
tt0052511,tvSeries,Startime,Startime,0,1959,1961,60,"Comedy,Drama,Musical"
tt0052512,tvSeries,Sunday Showcase,Sunday Showcase,0,1959,1961,60,"Biography,Comedy,Drama"
tt0052514,tvSeries,Take a Good Look,Take a Good Look,0,1959,1961,30,"Family,Game-Show"
tt0052515,tvSeries,The Third Man,The Third Man,0,1959,1965,30,"Crime,Drama"
tt0052516,tvSeries,This Man Dawson,This Man Dawson,0,1959,\N,30,"Crime,Drama"
tt0052517,tvSeries,Tightrope,Tightrope,0,1959,1960,30,"Crime,Drama"
tt0052519,tvSeries,Troubleshooters,Troubleshooters,0,1959,1960,30,Adventure
tt0052520,tvSeries,The Twilight Zone,The Twilight Zone,0,1959,1964,51,"Drama,Fantasy,Horror"
tt0052522,tvSeries,The Untouchables,The Untouchables,0,1959,1963,50,"Action,Crime,Drama"
tt0052523,tvSeries,The Vital Spark,The Vital Spark,0,1959,1974,\N,Comedy
tt0052525,tvSeries,Wichita Town,Wichita Town,0,1959,1960,30,Western
tt0052526,movie,-30-,-30-,0,1959,\N,96,Drama
tt0052527,movie,1001 Arabian Nights,1001 Arabian Nights,0,1959,\N,75,"Animation,Family,Fantasy"
tt0052528,movie,125 rue Montmartre,125 rue Montmartre,0,1959,\N,85,"Crime,Drama"
tt0052529,movie,The 30 Foot Bride of Candy Rock,The 30 Foot Bride of Candy Rock,0,1959,\N,73,"Comedy,Sci-Fi"
tt0052530,movie,4D Man,4D Man,0,1959,\N,85,"Action,Horror,Romance"
tt0052531,movie,A harminckilences dandár,A harminckilences dandár,0,1959,\N,111,"Drama,History"
tt0052532,movie,A sangre fría,A sangre fría,0,1959,\N,80,Crime
tt0052533,movie,Rebel Flight to Cuba,Abschied von den Wolken,0,1959,\N,99,"Adventure,Thriller"
tt0052534,movie,The Accomplices,L'inferno addosso,0,1959,\N,93,"Crime,Thriller"
tt0052536,movie,Les affreux,Les affreux,0,1959,\N,84,Comedy
tt0052537,tvMovie,Affäre Dreyfus,Affäre Dreyfus,0,1959,\N,151,Biography
tt0052538,movie,Agi Murad il diavolo bianco,Agi Murad il diavolo bianco,0,1959,\N,91,"Action,Adventure,Drama"
tt0052539,movie,"Agosto, donne mie non vi conosco","Agosto, donne mie non vi conosco",0,1959,\N,\N,Comedy
tt0052540,movie,A Town of Love and Hope,Ai to kibô no machi,0,1959,\N,62,Drama
tt0052541,movie,Akiket a pacsirta elkísér,Akiket a pacsirta elkísér,0,1959,\N,97,Drama
tt0052542,movie,Zoku sûpâ jaiantsu - Akuma no keshin,Zoku sûpâ jaiantsu - Akuma no keshin,0,1959,\N,57,"Action,Adventure,Fantasy"
tt0052543,movie,Al Capone,Al Capone,0,1959,\N,104,"Biography,Crime,Drama"
tt0052544,movie,Alaska Passage,Alaska Passage,0,1959,\N,71,"Adventure,Crime,Drama"
tt0052545,movie,Alias Jesse James,Alias Jesse James,0,1959,\N,92,"Comedy,Western"
tt0052546,movie,Alle Tage ist kein Sonntag,Alle Tage ist kein Sonntag,0,1959,\N,100,"Comedy,Romance"
tt0052547,movie,Everybody Loves Peter,Alle lieben Peter,0,1959,\N,95,"Comedy,Music"
tt0052549,movie,The Alligator People,The Alligator People,0,1959,\N,74,"Horror,Mystery,Sci-Fi"
tt0052550,movie,Als geheilt entlassen,Als geheilt entlassen,0,1960,\N,86,"Comedy,Crime"
