tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0000200,short,Gran corrida de toros,Gran corrida de toros,0,1898,\N,\N,"Documentary,Short,Sport"
tt0000201,short,Indian War Council,Indian War Council,0,1898,\N,\N,"News,Short"
tt0042977,movie,The Horsemen,Smelye lyudi,0,1950,\N,95,"Drama,Sport,War"
tt0042978,short,A Snitch in Time,A Snitch in Time,0,1950,\N,17,"Comedy,Short"
tt0042979,movie,Snow Dog,Snow Dog,0,1950,\N,63,"Adventure,Drama,Western"
tt0042980,movie,So Long at the Fair,So Long at the Fair,0,1950,\N,86,"Drama,Mystery"
tt0042981,short,So You Want to Hold Your Husband,So You Want to Hold Your Husband,0,1950,\N,10,"Comedy,Short"
tt0042982,movie,"So Young, So Bad","So Young, So Bad",0,1950,\N,91,Drama
tt0042983,movie,Over the Waves,Sobre las olas,0,1950,\N,128,"Biography,Drama,Music"
tt0042985,movie,Someone at the Door,Someone at the Door,0,1950,\N,65,Mystery
tt0042986,movie,Something in the City,Something in the City,0,1950,\N,76,Comedy
tt0042988,movie,Under the Paris Sky,Sous le ciel de Paris,0,1951,\N,114,"Crime,Drama"
tt0042989,movie,Southside 1-1000,Southside 1-1000,0,1950,\N,73,"Crime,Drama,Film-Noir"
tt0042990,short,Mirror of Holland,Spiegel van Holland,0,1950,\N,10,"Documentary,Short"
tt0042991,movie,Spy Hunt,Spy Hunt,0,1950,\N,74,"Action,Crime,Drama"
tt0042992,movie,Square Dance Katy,Square Dance Katy,0,1950,\N,76,Musical
tt0042994,movie,Stage Fright,Stage Fright,0,1950,\N,110,"Film-Noir,Mystery,Thriller"
tt0042995,movie,Stage to Tucson,Stage to Tucson,0,1950,\N,81,Western
tt0042996,short,Steps of Age,The Stairs,0,1950,\N,25,Short
tt0042998,movie,Stars in My Crown,Stars in My Crown,0,1950,\N,89,"Family,Western"
tt0042999,movie,State Penitentiary,State Penitentiary,0,1950,\N,66,"Adventure,Crime,Drama"
tt0043000,movie,Stella,Stella,0,1950,\N,83,"Comedy,Crime,Romance"
tt0043001,movie,Stjärnsmäll i Frukostklubben,Stjärnsmäll i Frukostklubben,0,1950,\N,87,Comedy
tt0043002,short,Stooge for a Mouse,Stooge for a Mouse,0,1950,\N,7,"Animation,Comedy,Family"
tt0043003,movie,Storm Over Wyoming,Storm Over Wyoming,0,1950,\N,61,"Drama,Western"
tt0043004,short,Storstrømsbroen,Storstrømsbroen,0,1950,\N,7,"Documentary,Short"
tt0043007,movie,Streets of Ghost Town,Streets of Ghost Town,0,1950,\N,54,"Drama,Music,Western"
tt0043008,short,Strife with Father,Strife with Father,0,1950,\N,7,"Animation,Comedy,Family"
tt0043009,movie,The Strip Tease Murder Case,The Strip Tease Murder Case,0,1950,\N,66,Drama
tt0043010,short,Studio Stoops,Studio Stoops,0,1950,\N,16,"Comedy,Short"
